Boughts for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-04-05 06:26:47,XRP,Bought 300.00 XRP/ZAR @ 10.20,B_XRP_055,1d505af1,300.00000000,10.20,3060.00,0.00,0.00,0.00
2021-04-07 00:48:59,XBT,"Bought 0.005 BTC/ZAR @ 865,000",B_XBT_109,0d7f01ae,0.00500000,865000.00,4325.00,0.00,0.00,0.00
2021-04-07 09:15:01,ETH,"Bought 0.10 ETH/ZAR @ 31,200",B_ETH_065,b5a0c4de,0.10000000,31200.00,3120.00,0.00,0.00,0.00
2021-04-07 09:15:06,XRP,Bought 300.00 XRP/ZAR @ 13.44,B_XRP_056,bccfc08f,300.00000000,13.44,4032.00,0.00,0.00,0.00
2021-04-07 11:24:22,ETH,"Bought 0.10 ETH/ZAR @ 30,600",B_ETH_066,12966f86,0.10000000,30600.00,3060.00,0.00,0.00,0.00
2021-04-07 11:29:24,LTC,"Bought 1.00 LTC/ZAR @ 3,301",B_LTC_078,843f3ed9,1.00000000,3301.00,3301.00,0.00,0.00,0.00
2021-04-07 11:45:28,XBT,"Bought 0.01 BTC/ZAR @ 856,000",B_XBT_110,d3e5d52c,0.01000000,856000.00,8560.00,0.00,0.00,0.00
2021-04-07 11:45:42,ETH,"Bought 0.10 ETH/ZAR @ 30,050",B_ETH_067,a7a41448,0.10000000,30050.00,3005.00,0.00,0.00,0.00
2021-04-07 18:28:08,XBT,"Bought 0.01 BTC/ZAR @ 851,000",B_XBT_111,cad9dfeb,0.01000000,851000.00,8510.00,0.00,0.00,0.00
2021-04-09 05:58:00,LTC,"Bought 0.50 LTC/ZAR @ 3,380",B_LTC_079,c70a7fa5,0.50000000,3380.00,1690.00,0.00,0.00,0.00
2021-04-13 09:04:54,LTC,"Bought 0.2538 LTC/ZAR @ 3,940",B_LTC_080,de77a43c,0.25380000,3939.99,999.97,0.00,0.00,0.00
2021-04-13 09:05:51,XRP,Bought 41.00 XRP/ZAR @ 24.33,B_XRP_057,ab96535e,41.00000000,24.33,997.53,0.00,0.00,0.00
2021-04-13 09:08:28,ETH,"Bought 0.030029 ETH/ZAR @ 33,301",B_ETH_068,fa7dd1ce,0.03002900,33300.81,999.99,0.00,0.00,0.00
2021-04-13 11:59:02,XRP,Bought 38.00 XRP/ZAR @ 26.08,B_XRP_058,42a81326,38.00000000,26.08,991.04,0.00,0.00,0.00
2021-04-13 22:07:27,XRP,Bought 40.00 XRP/ZAR @ 25.64,B_XRP_059,6cd21f87,40.00000000,25.64,1025.60,0.00,0.00,0.00
2021-04-13 22:08:05,XRP,Bought 40.00 XRP/ZAR @ 25.19,B_XRP_060,69d71eb7,40.00000000,25.19,1007.60,0.00,0.00,0.00
2021-04-14 14:13:46,XRP,Bought 42.00 XRP/ZAR @ 24.71,B_XRP_061,e6ff60f2,42.00000000,24.71,1037.82,0.00,0.00,0.00
2021-04-14 14:18:28,XRP,Bought 43.00 XRP/ZAR @ 23.20,B_XRP_062,ffef9b5c,43.00000000,23.20,997.60,0.00,0.00,0.00
2021-04-16 10:45:57,XRP,Bought 40.00 XRP/ZAR @ 23.20,B_XRP_063,9db4afce,40.00000000,23.20,928.00,0.00,0.00,0.00
2021-04-16 10:58:11,XRP,Bought 40.00 XRP/ZAR @ 23.01,B_XRP_064,2cda73c5,40.00000000,23.01,920.40,0.00,0.00,0.00
2021-04-16 11:20:06,XRP,Bought 50.00 XRP/ZAR @ 22.06,B_XRP_065,7af6deef,50.00000000,22.06,1103.00,0.00,0.00,0.00
2021-04-18 03:16:45,XBT,"Bought 0.0025 BTC/ZAR @ 882,000",B_XBT_113,70cf534b,0.00250000,882000.00,2205.00,0.00,0.00,0.00
2021-04-18 03:17:12,XRP,Bought 200.00 XRP/ZAR @ 21.90,B_XRP_066,7ec9ec64,200.00000000,21.90,4380.00,0.00,0.00,0.00
2021-04-18 03:19:49,XRP,Bought 100.00 XRP/ZAR @ 21.39,B_XRP_067,9bcbd2ea,100.00000000,21.39,2139.00,0.00,0.00,0.00
2021-04-18 03:33:39,XRP,Bought 25.00 XRP/ZAR @ 20.31,B_XRP_068,57acbfa2,25.00000000,20.31,507.75,0.00,0.00,0.00
2021-04-18 03:33:40,XRP,Bought 475.00 XRP/ZAR @ 20.31,B_XRP_069,2d8befc8,475.00000000,20.31,9647.25,0.00,0.00,0.00
2021-04-18 03:34:00,XRP,Bought 248.00 XRP/ZAR @ 20.15,B_XRP_070,5a0a1844,248.00000000,20.15,4997.20,0.00,0.00,0.00
2021-04-18 03:34:03,XRP,Bought 52.00 XRP/ZAR @ 20.15,B_XRP_071,e381c572,52.00000000,20.15,1047.80,0.00,0.00,0.00
2021-04-18 03:34:11,XRP,Bought 100.00 XRP/ZAR @ 20.08,B_XRP_072,5ccd8987,100.00000000,20.08,2008.00,0.00,0.00,0.00
2021-04-18 03:36:07,XBT,"Bought 0.005 BTC/ZAR @ 872,000",B_XBT_114,f181fa75,0.00500000,872000.00,4360.00,0.00,0.00,0.00
2021-04-18 03:36:47,XRP,Bought 100.00 XRP/ZAR @ 19.70,B_XRP_073,33b88f33,100.00000000,19.70,1970.00,0.00,0.00,0.00
2021-04-18 08:54:10,XRP,Bought 50.00 XRP/ZAR @ 19.90,B_XRP_074,e2fbd7ff,50.00000000,19.90,995.00,0.00,0.00,0.00
2021-04-18 08:56:31,XBT,"Bought 0.005 BTC/ZAR @ 846,000",B_XBT_115,4f937382,0.00500000,846000.00,4230.00,0.00,0.00,0.00
2021-04-18 09:00:03,LTC,"Bought 1.00 LTC/ZAR @ 4,005",B_LTC_081,e199013d,1.00000000,4005.00,4005.00,0.00,0.00,0.00
2021-04-18 09:00:13,XRP,Bought 100.00 XRP/ZAR @ 19.70,B_XRP_075,377d67de,100.00000000,19.70,1970.00,0.00,0.00,0.00
2021-04-18 09:03:12,ETH,"Bought 0.20 ETH/ZAR @ 33,001",B_ETH_069,5ca02b4e,0.20000000,33001.00,6600.20,0.00,0.00,0.00
2021-04-18 09:03:36,XRP,Bought 26.00 XRP/ZAR @ 19.71,B_XRP_076,2e30e81e,26.00000000,19.71,512.46,0.00,0.00,0.00
