Sales for FY,2022
Date,Currency,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR)
2021-03-26 22:06:46,ETH,S202,5b0c51a4,-0.00985866,20699.87,204.07,256.70,52.63
2021-03-26 22:06:46,ETH,S202,77a17290,-0.05000000,23101.00,1155.05,1301.90,146.85
2021-03-26 22:06:46,ETH,S202,fd2c9cfc,-0.10000000,27000.00,2700.00,2603.80,-96.20
2021-03-26 22:06:46,ETH,S202,34ce1468,-0.04014134,26975.00,1082.81,1045.20,-37.61
2021-03-26 23:53:38,XBT,S203,c7d74850,-0.00906032,801000.00,7257.32,7646.91,389.59
2021-03-26 23:53:38,XBT,S203,c8c298ed,-0.00093968,771000.00,724.49,793.09,68.60
2021-03-27 00:12:07,ETH,S204,34ce1468,-0.10000000,26975.00,2697.50,2636.80,-60.70
2021-03-27 20:13:16,XBT,S205,c8c298ed,-0.00106032,771000.00,817.51,892.79,75.28
2021-03-27 20:13:16,XBT,S205,2148ddcf,-0.00300000,769000.00,2307.00,2526.00,219.00
2021-03-27 20:13:16,XBT,S205,6d580419,-0.00593968,840000.00,4989.33,5001.21,11.88
2021-03-29 02:15:08,XRP,S206,47f4bb4e,-64.00000000,7.31,467.84,534.40,66.56
2021-03-29 02:15:45,XRP,S207,47f4bb4e,-135.62900000,7.31,991.45,1132.50,141.05
2021-03-29 02:15:45,XRP,S207,1aad41e4,-0.37100000,7.24,2.69,3.10,0.41
2021-03-29 08:47:34,XBT,S208,6d580419,-0.00406032,840000.00,3410.67,3443.15,32.48
2021-03-29 08:47:34,XBT,S208,16f4b503,-0.00093968,831000.00,780.87,796.85,15.97
2021-03-29 09:02:32,XBT,S209,16f4b503,-0.00906032,831000.00,7529.13,7746.57,217.45
